                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9092,                 1.8413,                 1.8172,                0.65029,                0.62811,                0.66226,                0.37127,                 1.7496,                 1.3499,                 1.9484,               0.067005,             0.00033328,             0.00033328
                      2,                 1.7127,                 1.5252,                 1.6132,                0.65569,                0.68176,                 0.7056,                0.43398,                 1.5307,                 1.1482,                 1.7125,               0.033983,             0.00064462,             0.00064462
                      3,                 1.6437,                 1.4345,                 1.5503,                0.66466,                0.70012,                0.72877,                0.46317,                 1.4623,                 1.1004,                 1.6872,             0.00093886,             0.00093395,             0.00093395
                      4,                 1.5933,                 1.3759,                 1.5109,                0.68734,                0.71071,                0.74226,                0.47439,                 1.4468,                 1.0475,                 1.7221,               0.000901,               0.000901,               0.000901
                      5,                 1.5723,                  1.347,                 1.4947,                0.68934,                0.71211,                0.74871,                0.48097,                 1.4369,                 1.0393,                 1.7223,               0.000901,               0.000901,               0.000901
                      6,                 1.5556,                 1.3234,                 1.4845,                0.69847,                0.72064,                0.75521,                0.48811,                 1.4231,                 1.0234,                 1.7056,               0.000868,               0.000868,               0.000868
                      7,                 1.5363,                 1.3023,                 1.4718,                0.70041,                0.72635,                0.75973,                0.49144,                 1.4179,                 1.0123,                 1.6948,               0.000835,               0.000835,               0.000835
                      8,                 1.5259,                 1.2878,                 1.4618,                0.69986,                0.72635,                0.76098,                0.49294,                 1.4159,                 1.0075,                 1.6926,               0.000802,               0.000802,               0.000802
                      9,                 1.5174,                 1.2787,                 1.4599,                0.70181,                0.72783,                0.76351,                 0.4953,                 1.4139,                 1.0017,                 1.6914,               0.000769,               0.000769,               0.000769
                     10,                  1.506,                  1.266,                 1.4581,                0.70554,                0.72616,                0.76531,                0.49704,                   1.41,                0.99727,                 1.6894,               0.000736,               0.000736,               0.000736
                     11,                 1.4999,                 1.2574,                 1.4508,                0.70794,                0.72599,                0.76738,                 0.4986,                 1.4086,                 0.9928,                 1.6917,               0.000703,               0.000703,               0.000703
                     12,                 1.4924,                  1.248,                 1.4458,                0.71022,                0.72471,                0.76878,                0.50004,                  1.406,                0.98801,                 1.6903,                0.00067,                0.00067,                0.00067
                     13,                 1.4837,                 1.2348,                 1.4355,                0.70962,                0.72584,                0.76903,                0.50028,                 1.4034,                0.98418,                 1.6872,               0.000637,               0.000637,               0.000637
                     14,                 1.4769,                 1.2282,                 1.4291,                0.70982,                0.72563,                 0.7692,                0.50134,                 1.4006,                0.98202,                 1.6867,               0.000604,               0.000604,               0.000604
                     15,                 1.4715,                 1.2197,                 1.4292,                0.71164,                0.72465,                0.77022,                0.50224,                 1.3991,                0.97944,                 1.6874,               0.000571,               0.000571,               0.000571
                     16,                 1.4638,                 1.2134,                 1.4227,                0.71096,                0.72707,                0.77243,                0.50389,                 1.3969,                0.97467,                 1.6876,               0.000538,               0.000538,               0.000538
                     17,                 1.4595,                 1.2085,                 1.4217,                0.71243,                0.72697,                0.77401,                0.50496,                 1.3952,                0.97057,                 1.6882,               0.000505,               0.000505,               0.000505
                     18,                 1.4538,                 1.2003,                 1.4209,                0.71358,                0.72918,                0.77532,                0.50605,                 1.3933,                0.96695,                 1.6885,               0.000472,               0.000472,               0.000472
                     19,                 1.4476,                 1.1898,                 1.4103,                0.71533,                0.73057,                0.77674,                0.50725,                 1.3913,                0.96291,                 1.6885,               0.000439,               0.000439,               0.000439
                     20,                 1.4382,                 1.1826,                 1.4051,                0.71514,                0.73117,                 0.7781,                0.50837,                 1.3904,                0.95931,                 1.6911,               0.000406,               0.000406,               0.000406
                     21,                 1.3888,                   1.06,                 1.3885,                0.71681,                0.73316,                0.77921,                0.50942,                 1.3897,                0.95638,                 1.6969,               0.000373,               0.000373,               0.000373
                     22,                 1.3779,                 1.0473,                  1.383,                0.71993,                0.73371,                0.78168,                0.51114,                 1.3882,                0.95184,                 1.7053,                0.00034,                0.00034,                0.00034
                     23,                 1.3668,                 1.0384,                 1.3784,                0.71903,                0.73818,                0.78399,                0.51355,                 1.3879,                0.94731,                 1.7144,               0.000307,               0.000307,               0.000307
                     24,                 1.3586,                 1.0253,                 1.3675,                0.72022,                0.73951,                 0.7859,                0.51463,                  1.387,                0.94304,                 1.7216,               0.000274,               0.000274,               0.000274
                     25,                 1.3494,                 1.0135,                   1.36,                0.72258,                0.74184,                0.78771,                0.51594,                 1.3881,                0.93859,                 1.7297,               0.000241,               0.000241,               0.000241
                     26,                 1.3419,                 1.0059,                 1.3564,                0.72485,                0.74106,                0.78893,                0.51702,                 1.3882,                0.93469,                 1.7345,               0.000208,               0.000208,               0.000208
                     27,                 1.3356,                0.99451,                 1.3524,                0.72516,                 0.7425,                0.79022,                0.51798,                 1.3883,                0.93089,                 1.7392,               0.000175,               0.000175,               0.000175
                     28,                 1.3265,                0.98378,                 1.3434,                0.72662,                0.74374,                0.79138,                0.51895,                 1.3879,                0.92743,                 1.7428,               0.000142,               0.000142,               0.000142
                     29,                 1.3172,                0.97418,                 1.3431,                0.72756,                0.74297,                0.79232,                0.51976,                 1.3878,                0.92483,                 1.7472,               0.000109,               0.000109,               0.000109
                     30,                 1.3091,                0.96066,                 1.3366,                0.72842,                0.74279,                 0.7933,                 0.5207,                 1.3876,                0.92165,                 1.7542,                7.6e-05,                7.6e-05,                7.6e-05
